material_number,descripcion,forma,linea,fuente,fecha_agregado
21070070035,RAMBLER 30 OZ TUMBLER MS CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21070090064,RAMBLER COLSTER 2.0 CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071015008,RAMBLER 10 OZ TUMBLER MS CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071060025,RAMBLER 18 OZ BOTTLE CHUG CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071070021,RAMBLER 36 OZ BOTTLE CHUG CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071200025,RAMBLER 26 OZ BOTTLE CHUG CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071300099,RAMBLER 20 OZ TUMBLER MS CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071300105,RAMBLER 30 OZ TUMBLER MS CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071300267,RAMBLER 20 OZ TUMBLER MS CSTM BRICK RED,REGULAR,DC,auto_aprobado,2026-08-03
21071500005,BOOMER 8 DOG BOWL CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071500007,BOOMER 8 DOG BOWL CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071500014,BOOMER 4 DOG BOWL CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071500409,RAMBLER 10 OZ LOWBALL MS CUSTOM CORPRED,REGULAR,DC,auto_aprobado,2026-08-03
21071500434,RAMBLER 20 OZ TUMBLER MS CSTM CORPBLUE,REGULAR,DC,auto_aprobado,2026-08-03
21071501562,RAMBLER BEVERAGE BUCKET CUSTOM SS,BUCKET,SS,auto_aprobado,2026-08-03
21071501985,RAMBLER 20 OZ COCKTAIL SHAKER CUSTOM SS,SHAKER,SS,auto_aprobado,2026-08-03
21071501998,RAMBLER 1/2 G JUG 2.0 CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071502000,RAMBLER 1/2 G JUG 2.0 CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071502001,RAMBLER 1 G JUG 2.0 CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071502202,RAMBLER 14 OZ MUG 2.0 MS CSTM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071502225,RAMBLER 20 OZ TUMBLER MS CSTM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071502227,RAMBLER 20 OZ TUMBLER MS CSTM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071502228,RAMBLER 20 OZ TUMBLER MS CSTM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071502229,RAMBLER 20 OZ TUMBLER MS CSTM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071502283,RAMBLER 20 OZ TRAVEL MUG CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071502284,RAMBLER 20 OZ TRAVEL MUG CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071502293,RAMBLER 30 OZ TRAVEL MUG CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071502308,RAMBLER 12 OZ TRAVEL BOTTLE CSTM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071502309,RAMBLER 12 OZ TRAVEL BOTTLE CSTM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071502310,RAMBLER 12 OZ TRAVEL BOTTLE CSTM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071502318,RAMBLER 16 OZ TRAVEL BOTTLE CSTM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071502319,RAMBLER 16 OZ TRAVEL BOTTLE CSTM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071502320,RAMBLER 16 OZ TRAVEL BOTTLE CSTM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071502329,RAMBLER JR 12 OZ KIDS BOTTLE CSTTROPPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071502331,RAMBLER 18 OZ C STRAW BOTTLE CSTTROPPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071502861,RAMBLER 16 OZ STK MS CSTM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071502862,RAMBLER 16 OZ STK MS CSTM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071502863,RAMBLER 16 OZ STK MS CSTM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071502865,RAMBLER 16 OZ STK MS CSTM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071502958,YETI FLASK CSTM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071502959,YETI SHOT GLASSES & CASE CSTM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071502966,RAMBLER 1 G JUG 2.0 CUSTOM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071502968,RAMBLER 12 OZ TRAVEL BOTTLE CSTRESCUERED,REGULAR,DC,auto_aprobado,2026-08-03
21071502969,RAMBLER 16 OZ TRAVEL BOTTLE CSTRESCUERED,REGULAR,DC,auto_aprobado,2026-08-03
21071502970,RAMBLER 16 OZ STK MS CSTM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071503026,YETI FLASK CSTM TROPICAL PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503027,YETI SHOT GLASSES & CASE CST TROPICPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503029,RAMBLER COLSTER 2.0 CSTM TROPICAL PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503038,RAMBLER 14 OZ MUG 2.0 MS CST TROPIC PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503042,RAMBLER 18 OZ BOTTLE CHUG CSTTROPICPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503043,RAMBLER 26 OZ BOTTLE CHUG CSTTROPICPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503045,RAMBLER 36 OZ BOTTLE CHUG CSTTROPICPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503046,RAMBLER 46 OZ BOTTLE CHUG CSTTROPICPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503047,RAMBLER 64 OZ BOTTLE CHUG CSTTROPICPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503058,RAMBLER 20 OZ TUMBLER MS CST TROPIC PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503059,RAMBLER 30 OZ TUMBLER MS CST TROPIC PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503065,RAMBLER 42 OZ STRAW MUG CSTM TROPIC PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503066,RAMBLER 20 OZ TRAVEL MUG CST TROPIC PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503068,RAMBLER 20 OZ COCKTAIL SHAKER CSTTRPPINK,SHAKER,DC,auto_aprobado,2026-08-03
21071503070,RAMBLER WINE CHILLER CSTM TROPICAL PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503077,RAMBLER 12 OZ TRAVEL BOTTLE CSTTROPPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503078,RAMBLER 16 OZ TRAVEL BOTTLE CSTTROPPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503079,RAMBLER 16 OZ STK MS CSTM TROPICAL PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503500,RAMBLER 42 OZ STRAW MUG CSTM KEY LIME,REGULAR,DC,auto_aprobado,2026-08-03
21071503617,RAMBLER COLSTER 2.0 CSTM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503623,RAMBLER JR 12 OZ KIDS BOTTLE CST CAPETPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503624,RAMBLER 18 OZ C STRAW BOTTLE CSTCAPTAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503625,RAMBLER 18 OZ BOTTLE CHUG CSTM CAPETAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503626,RAMBLER 26 OZ BOTTLE CHUG CSTM CAPETAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503629,RAMBLER 20 OZ TUMBLER MS CSTM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503630,RAMBLER 30 OZ TUMBLER MS CSTM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503636,RAMBLER 42 OZ STRAW MUG CSTM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503638,RAMBLER 30 OZ TRAVEL MUG CSTM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503639,RAMBLER 20 OZ COCKTAIL SHAKER CSTCPTAUPE,SHAKER,DC,auto_aprobado,2026-08-03
21071503641,RAMBLER WINE CHILLER CSTM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503648,RAMBLER 16 OZ STK MS CSTM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503650,RAMBLER WINE CHILLER CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071503675,RAMBLER 1/2 G JUG 2.0 CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071503697,RAMBLER 26 OZ C STRAW BOTTLE CST TRPPINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503700,RAMBLER 26 OZ C STRAW BOTTLE CST CPTAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071503708,RAMBLER 20 OZ STK MS CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071503709,RAMBLER 20 OZ STK MS CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071503710,RAMBLER 20 OZ STK MS CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071503711,RAMBLER 20 OZ STK MS CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071503712,RAMBLER 20 OZ STK MS CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071503784,RAMBLER COLSTER 2.0 CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071503786,RAMBLER COLSTER 2.0 CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071503787,RAMBLER COLSTER 2.0 CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071503814,RAMBLER 30 OZ TUMBLER MS CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071503816,RAMBLER 30 OZ TUMBLER MS CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071503817,RAMBLER 30 OZ TUMBLER MS CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071503818,RAMBLER 30 OZ TUMBLER MS CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071503819,RAMBLER 30 OZ TUMBLER MS CSTM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071503822,RAMBLER BEVERAGE BUCKET CUSTOM NAVY,BUCKET,DC,auto_aprobado,2026-08-03
21071503823,RAMBLER BEVERAGE BUCKET CUSTOM WHITE,BUCKET,DC,auto_aprobado,2026-08-03
21071503829,RAMBLER 36 OZ BOTTLE CHUG CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071503831,RAMBLER 36 OZ BOTTLE CHUG CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071503832,RAMBLER 36 OZ BOTTLE CHUG CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071503833,RAMBLER 36 OZ BOTTLE CHUG CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071503846,RAMBLER 42 OZ STRAW MUG CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071503857,RAMBLER 64 OZ BOTTLE CHUG CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071503858,RAMBLER 64 OZ BOTTLE CHUG CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071503860,RAMBLER 64 OZ BOTTLE CHUG CUSTOM RESCRED,REGULAR,DC,auto_aprobado,2026-08-03
21071503861,RAMBLER 64 OZ BOTTLE CHUG CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071503889,RAMBLER 20 OZ STK MS CUSTOM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071503913,RAMBLER 16 OZ STK MS CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071503915,RAMBLER 20 OZ STK MS CSTM TROPICAL PINK,REGULAR,DC,auto_aprobado,2026-08-03
21071503939,RAMBLER COLSTER 2.0 CUSTOM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071503940,RAMBLER 36 OZ BOTTLE CHUG CSTM RESCUERED,REGULAR,DC,auto_aprobado,2026-08-03
21071503942,RAMBLER BEVERAGE BUCKET CSTM RESCUE RED,BUCKET,DC,auto_aprobado,2026-08-03
21071503944,RAMBLER COLSTER 2.0 CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071503997,RAMBLER JR 12 OZ KIDS BOTTLE CSTRESCRED,REGULAR,DC,auto_aprobado,2026-08-03
21071503998,RAMBLER 18 OZ C STRAW BOTTLE CSTRESCURED,REGULAR,DC,auto_aprobado,2026-08-03
21071503999,RAMBLER 26 OZ C STRAW BOTTLE CST RESCRED,REGULAR,DC,auto_aprobado,2026-08-03
21071504045,RAMBLER 18 OZ BOTTLE CHUG CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071504046,RAMBLER 18 OZ BOTTLE CHUG CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504047,RAMBLER 18 OZ BOTTLE CHUG CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504048,RAMBLER 18 OZ BOTTLE CHUG CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071504049,RAMBLER 18 OZ BOTTLE CHUG CSTM RESCUERED,REGULAR,DC,auto_aprobado,2026-08-03
21071504062,RAMBLER JR 12 OZ KIDS BOTTLE CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504063,RAMBLER JR 12 OZ KIDS BOTTLE CSTM SEAFM,REGULAR,DC,auto_aprobado,2026-08-03
21071504070,RAMBLER COLSTER SLIM CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504087,RAMBLER 18 OZ C STRAW BOTTLE CST NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504088,RAMBLER 18 OZ C STRAW BOTTLE CST SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071504093,RAMBLER 20 OZ COCKTAIL SHAKER CUSTOMNAVY,SHAKER,DC,auto_aprobado,2026-08-03
21071504094,RAMBLER 20 OZ COCKTAIL SHAKER CSTM WHITE,SHAKER,DC,auto_aprobado,2026-08-03
21071504095,RAMBLER 20 OZ COCKTAIL SHAKER CSTRESCRED,SHAKER,DC,auto_aprobado,2026-08-03
21071504101,RAMBLER 26 OZ BOTTLE CHUG CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071504102,RAMBLER 26 OZ BOTTLE CHUG CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504103,RAMBLER 26 OZ BOTTLE CHUG CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504104,RAMBLER 26 OZ BOTTLE CHUG CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071504105,RAMBLER 26 OZ BOTTLE CHUG CSTM RESCUERED,REGULAR,DC,auto_aprobado,2026-08-03
21071504121,RAMBLER 46 OZ BOTTLE CHUG CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504122,RAMBLER 46 OZ BOTTLE CHUG CUSTOM SEAFOAM,REGULAR,DC,auto_aprobado,2026-08-03
21071504127,RAMBLER WINE CHILLER CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504128,RAMBLER WINE CHILLER CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504129,RAMBLER WINE CHILLER CUSTOM RESCUE RED,REGULAR,DC,auto_aprobado,2026-08-03
21071504133,BOOMER 8 DOG BOWL CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071504134,BOOMER 8 DOG BOWL CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504135,BOOMER 8 DOG BOWL CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504139,BOOMER 4 DOG BOWL CUSTOM BLACK,REGULAR,DC,auto_aprobado,2026-08-03
21071504140,BOOMER 4 DOG BOWL CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504141,BOOMER 4 DOG BOWL CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504186,RAMBLER 36 OZ BOTTLE CHUG CSTM CAPETAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071504190,RAMBLER 64 OZ BTL CHUG CSTM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071504233,RAMBLER 20 OZ STK MS CUSTOM CAPE TAUPE,REGULAR,DC,auto_aprobado,2026-08-03
21071504282,YETI SHOT GLASSES & CASE CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071504283,YETI SHOT GLASSES & CASE CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
21071504284,YETI SHOT GLASSES & CASE CUSTOM WHITE,REGULAR,DC,auto_aprobado,2026-08-03
21071504296,YETI FLASK CUSTOM SS,REGULAR,SS,auto_aprobado,2026-08-03
21071504297,YETI FLASK CUSTOM NAVY,REGULAR,DC,auto_aprobado,2026-08-03
